transaction_id,user_id,amount,transaction_hour,merchant_category,device_type,location,is_new_device,failed_attempts,transactions_last_hour,account_age_days,is_fraud,is_night,amount_log,high_velocity,high_failed_attempts,new_device_high_amount,amount_vs_account_age,risk_factor_count
TXN00033553,912,508.32,4,utility_bill,ios,Butwal,1,1,2,824,0,1,6.233076502705234,0,0,0,0.6161454545454546,1
TXN00009427,1162,249.41,22,grocery,web,Bhaktapur,0,0,3,824,0,0,5.523099574530755,0,0,0,0.30231515151515154,0
TXN00000199,2912,507.58,16,travel,web,Hetauda,0,0,1,466,0,0,6.231622528581321,0,0,0,1.0868950749464668,0
TXN00012447,3743,402.74,15,healthcare,ios,Butwal,0,1,2,1486,0,0,6.000771106428282,0,0,0,0.2708406186953598,0
TXN00039489,677,4489.19,13,education,android,Birgunj,0,0,2,318,0,0,8.409650296099343,0,0,0,14.072695924764888,0
TXN00042724,2834,98.86,11,education,ios,Birgunj,1,0,2,962,0,0,4.603769205072463,0,0,0,0.1026583592938733,0
TXN00010822,762,392.46,21,fuel,ios,Butwal,0,0,1,172,0,0,5.974979410848119,0,0,0,2.2685549132947975,0
TXN00049498,4751,254.53,16,education,web,Bhaktapur,0,0,3,790,0,0,5.543339819580688,0,0,0,0.3217825537294564,0
TXN00004144,4035,557.31,12,travel,web,Birgunj,1,0,1,1317,0,0,6.3249143636730105,0,0,0,0.42284522003034897,0
TXN00036958,1694,296.38,11,utility_bill,web,Pokhara,0,0,2,394,0,0,5.695010782269077,0,0,0,0.7503291139240507,0
TXN00043106,1960,724.73,23,electronics,web,Butwal,0,0,1,496,0,0,6.587178044826087,0,0,0,1.4582092555331991,0
TXN00038695,4508,1242.64,13,education,web,Hetauda,0,2,1,1395,0,0,7.125797842350504,0,0,0,0.8901432664756448,0
TXN00006188,871,410.69,6,fuel,android,Nepalgunj,0,1,1,388,0,0,6.020270638949651,0,0,0,1.055758354755784,0
TXN00001414,826,5129.28,19,education,android,Birgunj,0,3,3,1344,0,0,8.542915517572018,0,0,0,3.8135910780669144,0
TXN00018471,914,396.63,17,grocery,android,Kathmandu,0,1,2,940,0,0,5.9855219246523035,0,0,0,0.4214984059511158,0
TXN00029282,985,520.44,5,healthcare,web,Hetauda,0,0,3,1363,0,0,6.256594215089252,0,0,0,0.3815542521994135,0
TXN00015177,1661,1496.23,18,healthcare,ios,Kathmandu,0,1,4,1201,0,0,7.31137201323268,0,0,0,1.244783693843594,0
TXN00034304,1247,501.65,16,fuel,web,Nepalgunj,0,0,2,96,0,0,6.219894102851429,0,0,0,5.171649484536082,0
TXN00012609,4538,1575.81,16,healthcare,web,Dharan,0,0,3,1242,0,0,7.363159097776797,0,0,0,1.2677473853580048,0
TXN00012144,4492,1721.83,10,education,ios,Bhaktapur,0,2,2,397,0,0,7.451723566541228,0,0,0,4.326206030150754,0
TXN00006113,4826,368.41,21,travel,web,Pokhara,0,0,1,963,0,0,5.911907138324555,0,0,0,0.38216804979253116,0
TXN00015908,2846,959.9,12,mobile_topup,web,Kathmandu,0,0,2,321,0,0,6.867870345283222,0,0,0,2.981055900621118,0
TXN00000821,118,7169.49,23,utility_bill,android,Birgunj,0,0,1,410,0,0,8.877729271565407,0,0,0,17.444014598540146,0
TXN00015118,1917,206.62,18,healthcare,ios,Dharan,0,0,1,1247,0,0,5.3357094857651,0,0,0,0.16556089743589744,0
TXN00013466,3680,6408.45,21,travel,ios,Bhaktapur,0,0,9,233,0,0,8.765528742801253,1,0,0,27.38653846153846,1
TXN00026497,1860,118.6,5,utility_bill,android,Dharan,0,1,1,586,0,0,4.784152841516532,0,0,0,0.2020442930153322,0
TXN00042111,3799,158.94,0,education,web,Butwal,0,0,5,939,0,1,5.0747987449037435,0,0,0,0.16908510638297872,1
TXN00030188,4346,1725.72,11,fuel,android,Dharan,1,1,1,353,0,0,7.453978934139282,0,0,0,4.874915254237288,0
TXN00037237,4867,134.47,12,healthcare,android,Pokhara,0,1,1,1481,0,0,4.908750213592645,0,0,0,0.09073549257759785,0
TXN00033109,4237,468.74,5,grocery,ios,Butwal,0,1,3,355,0,0,6.152179350147878,0,0,0,1.316685393258427,0
TXN00036480,3235,142.63,20,utility_bill,ios,Pokhara,0,0,1,427,0,0,4.967240548443732,0,0,0,0.33324766355140184,0
TXN00024148,3491,391.58,11,utility_bill,web,Bhaktapur,0,0,3,415,0,0,5.972740338109702,0,0,0,0.9412980769230769,0
TXN00005503,2262,628.79,7,utility_bill,ios,Hetauda,0,0,1,841,0,0,6.445386430484341,0,0,0,0.7467814726840855,0
TXN00003918,567,802.07,12,utility_bill,android,Biratnagar,1,2,3,896,0,0,6.68844188324828,0,0,0,0.8941694537346712,0
TXN00038478,4693,685.84,20,electronics,android,Dharan,0,1,3,64,0,0,6.532101368445602,0,0,0,10.551384615384617,0
TXN00021123,2858,1000.02,10,utility_bill,ios,Biratnagar,0,0,1,1401,0,0,6.908774759135603,0,0,0,0.713281027104137,0
TXN00049717,1921,561.94,7,travel,ios,Kathmandu,0,2,1,181,0,0,6.333173050524441,0,0,0,3.087582417582418,0
TXN00042294,3510,134.34,1,electronics,web,Dharan,0,0,3,1327,0,1,4.90779013080408,0,0,0,0.10115963855421688,1
TXN00047609,2225,684.57,16,healthcare,android,Birgunj,0,0,3,741,0,0,6.53025060903331,0,0,0,0.922601078167116,0
TXN00011076,4078,19.13,0,fuel,ios,Birgunj,0,0,3,571,0,1,3.0022112396517002,0,0,0,0.033444055944055945,1
TXN00041514,30,950.0,6,utility_bill,android,Bhaktapur,0,1,3,698,0,0,6.85751406254539,0,0,0,1.3590844062947067,0
TXN00022062,3817,273.97,21,travel,ios,Hetauda,0,1,2,1334,0,0,5.616662000806635,0,0,0,0.20522097378277154,0
TXN00009413,4585,4733.5,13,education,android,Birgunj,0,0,1,863,0,0,8.462631403423554,0,0,0,5.478587962962963,0
TXN00038340,2151,1172.59,17,mobile_topup,web,Pokhara,0,0,2,879,0,0,7.06782270600174,0,0,0,1.3324886363636363,0
TXN00030263,4481,1179.04,5,utility_bill,ios,Kathmandu,1,0,8,1218,0,0,7.073303615190261,1,0,0,0.9672190319934372,1
TXN00041252,4153,499.05,16,healthcare,web,Nepalgunj,0,0,2,791,0,0,6.214708093422525,0,0,0,0.6301136363636364,0
TXN00014644,1090,408.18,13,fuel,android,Biratnagar,0,0,2,1104,0,0,6.01415515702768,0,0,0,0.369393665158371,0
TXN00026335,2534,167.86,23,restaurant,android,Lalitpur,0,5,1,946,0,0,5.129069969241354,0,1,0,0.17725448785638862,1
TXN00028102,4984,827.27,17,electronics,web,Lalitpur,0,0,2,1015,0,0,6.719339188186985,0,0,0,0.8142421259842519,0
TXN00017523,3016,2142.07,8,ecommerce,ios,Kathmandu,0,1,1,1182,0,0,7.669994659429138,0,0,0,1.8107100591715977,0
TXN00024712,2318,979.26,20,restaurant,web,Dharan,0,0,2,1002,0,0,6.88781784259962,0,0,0,0.9763310069790628,0
TXN00040485,4644,204.53,14,ecommerce,ios,Pokhara,0,0,5,854,0,0,5.325592008682918,0,0,0,0.23921637426900585,0
TXN00003850,1994,1957.58,5,grocery,web,Biratnagar,0,2,1,680,0,0,7.579974999859085,0,0,0,2.874566813509545,0
TXN00040040,3975,1001.49,23,grocery,android,Butwal,0,5,2,1163,0,0,6.910242184068629,0,1,0,0.8603865979381443,1
TXN00015267,642,722.9,12,education,web,Birgunj,0,0,1,1422,0,0,6.584653261299096,0,0,0,0.5080112438510189,0
TXN00049146,3399,1919.85,7,fuel,web,Pokhara,0,0,1,213,0,0,7.560523075388739,0,0,0,8.97126168224299,0
TXN00030001,2383,350.67,18,ecommerce,ios,Biratnagar,0,0,1,1363,0,0,5.862693235870121,0,0,0,0.25708944281524926,0
TXN00045926,4983,182.51,10,fuel,web,Dharan,0,0,2,639,0,0,5.212269161922583,0,0,0,0.28517187499999996,0
